segment_id,road_name,road_type,human_segment_id,internal_id,start_lat,start_lon,end_lat,end_lon,length_m,start_km,end_km,road_risk_score,ai_risk_label,ai_risk_probability,prob_low_risk,prob_medium_risk,prob_high_risk,prob_critical_risk,ai_recommended_speed,recommended_safe_speed,road_function_score,infrastructure_score,exposure_score,human_tolerance_limit,operating_speed_score,crash_risk_score,posted_speed_limit,pedestrian_exposure_score,blackspot_flag,crash_count,fatal_crashes,schools_count,lighting_quality,roadside_hazards,intersection_density,speed_compliance_rate,speed_violation_score,hotspot_score,hotspot_category,speed_safety_score,original_safe_speed,misalignment_score,misalignment_category,speed_p85,ptw_share_pct,exposure_tier,urban_rural_flag,lane_count,median_presence,land_use_type,top_ai_factors,congestion_index,congestion_category,congestion_smoothed,operating_speed_mean,minor_crashes,major_crashes,risk_category,final_safe_speed,corridor_base,corridor_seq
14,10th Cross Road,Urban Road,URB-00014,14,12.9085,77.581,12.9093,77.575,700.4,5.6,6.3,30.6879,Moderate Misalignment,0.5814,0.3494,0.5564,0.0345,-0.0021,59.1609,56.9586,96.8874,12.0831,24.073,79.4053,37.5118,0.235,60.0,26.5538,No,0.0,-0.0046,1.0016,Poor,Low,0.1696,10.0,10.8639,27.2292,Moderate Risk,63.4984,58.6789,30.1587,Moderate Misalignment,58.4402,36.3535,Separated Traffic,Rural,3.9803,True,Residential,Poor Infrastructure | Above Human Tolerance Limit,0.0088,,False,49.8874,-0.0138,-0.0035,Moderate Misalignment,58,10th Cross Road,4
15,10th Cross Road,Urban Road,URB-00015,15,13.0537,77.599,13.0534,77.598,139.6,6.0,6.14,14.0018,Aligned,0.8968,0.9027,0.1325,-0.0098,-0.0012,47.037,46.8124,82.8173,41.5931,39.3834,53.5223,53.2625,0.0435,50.5186,40.9219,No,0.0,0.0025,0.9741,Good,Low,2.066,10.0,10.0,24.6161,Safe,76.4709,47.1734,21.8589,Aligned,48.8147,62.0275,Side Impact Potential,Urban,5.1988,True,Mixed,Active Congestion,0.6118,Severe,False,18.521,-0.001,-0.0025,Aligned,49,10th Cross Road,5
16,10th Cross Road,Urban Road,URB-00016,16,13.0207,77.6843,13.023,77.6846,263.6,6.4,6.664,10.2598,Aligned,0.9731,0.9514,0.0295,-0.0099,-0.0064,45.0595,44.2358,79.3357,25.6881,20.8448,49.1334,79.9399,0.0,51.2714,10.6699,No,0.0,0.0047,0.003,Poor,Low,1.5777,10.0,10.1057,19.423,Safe,74.3294,46.5086,16.5275,Aligned,46.431,50.8192,Side Impact Potential,Peri-Urban,6.1319,False,Residential,Poor Infrastructure,0.1411,Light,False,34.1403,-0.0046,-0.0018,Aligned,46,10th Cross Road,6
17,10th Cross Road,Urban Road,URB-00017,17,12.9481,77.5422,12.941,77.5417,797.5,6.8,7.598,18.9597,Aligned,0.7791,0.827,0.1039,0.0723,0.0087,54.9454,53.5035,100.0,5.3044,26.3618,81.9822,82.3381,0.4885,59.5789,14.7872,No,0.0,-0.0006,0.0005,Poor,Medium,0.5381,10.0,10.4058,23.6819,Safe,69.6098,55.9403,19.1175,Aligned,57.6341,59.1329,Separated Traffic,Peri-Urban,5.0685,True,Industrial,Poor Infrastructure,-0.0024,,False,45.9319,-0.0167,-0.0002,Aligned,56,10th Cross Road,7
18,10th Main Road,Urban Road,URB-00018,18,12.9366,77.585,12.9329,77.5848,414.0,7.2,7.614,23.7672,Aligned,0.521,0.5006,0.4762,-0.0045,-0.0063,43.2408,42.2283,76.2997,40.5024,31.8692,49.9037,94.9217,0.1225,40.9016,29.0937,No,0.0,-0.0032,0.0433,Good,Medium,1.9252,10.0,10.2062,22.6862,Safe,75.2226,42.4468,22.7387,Aligned,46.0252,56.6659,Side Impact Potential,Urban,5.8856,False,Mixed,Meets Safe System Standards,0.0052,,False,37.5904,0.0117,0.0119,Aligned,42,10th Main Road,1
19,10th Main Road,Urban Road,URB-00019,19,12.9263,77.5849,12.9171,77.5847,1021.9,7.6,8.622,38.8437,Moderate Misalignment,0.9831,-0.0021,0.9944,-0.0254,-0.0129,45.5309,43.7448,86.6577,25.6867,32.6546,71.1452,98.5453,0.0072,37.9496,22.784,No,0.0,-0.0075,-0.0627,Good,Medium,1.5027,10.0,11.7602,25.9127,Moderate Risk,68.4783,44.408,25.0873,Moderate Misalignment,47.2419,64.6913,Separated Traffic,Urban,5.0217,True,Industrial,Poor Infrastructure,-0.0186,,False,40.7889,0.0018,0.0016,Moderate Misalignment,44,10th Main Road,2
20,10th Main Road,Urban Road,URB-00020,20,13.085,77.5532,13.0861,77.5502,356.1,8.0,8.356,11.8111,Aligned,0.8814,0.8297,0.0958,0.0028,0.0071,31.9527,31.8924,65.7543,27.6628,31.0079,49.285,93.7313,0.0,27.165,21.1063,No,0.0,-0.0098,0.0522,Good,Medium,3.9198,10.0,10.0,23.6267,Safe,72.716,31.2745,21.6509,Aligned,30.6959,61.0424,Side Impact Potential,Urban,4.0373,True,Mixed,Poor Infrastructure,0.0255,,False,25.8179,0.0026,0.0168,Aligned,29,10th Main Road,3
21,10th Main Road,Urban Road,URB-00021,21,12.985,77.5558,12.9871,77.556,986.0,8.4,9.386,11.9514,Aligned,0.9723,0.9617,0.0407,0.0025,-0.0058,49.1084,49.41,78.4755,15.3705,27.0758,51.9536,83.7771,0.2702,50.7801,18.2524,No,0.0,0.0045,1.0628,Good,Low,2.2151,10.0,10.0,24.9373,Moderate Risk,68.7704,51.3346,23.4992,Aligned,54.2071,59.0695,Side Impact Potential,Urban,6.1081,False,Commercial,Poor Infrastructure,0.2301,Light,False,39.0762,0.0081,0.0002,Aligned,50,10th Main Road,4
22,10th Main Road,Urban Road,URB-00022,22,12.9308,77.5849,12.9286,77.5849,243.6,8.8,9.044,10.6284,Aligned,0.9662,0.9637,-0.0149,0.0053,-0.0015,32.114,32.5233,82.8814,53.9453,43.751,48.8221,75.5933,0.0,41.8831,45.2285,No,0.0,0.0132,1.9669,Good,Medium,1.9081,10.0,10.0,23.5241,Safe,78.6569,32.4221,19.7142,Aligned,32.7352,58.3176,Side Impact Potential,Urban,3.7745,True,Commercial,Meets Safe System Standards,0.2018,Light,False,22.0548,-0.0081,0.0137,Aligned,31,10th Main Road,5
23,10th Main Road,Urban Road,URB-00023,23,12.9929,77.5422,12.9933,77.5391,344.4,9.2,9.544,13.9491,Aligned,0.8987,0.8818,0.0722,0.0531,0.0019,57.9105,58.4858,99.2939,5.3962,16.4587,76.4733,55.8394,0.0,60.0,8.8123,No,0.0,-0.0038,-0.0015,Poor,Low,0.347,10.0,10.1189,21.3127,Safe,70.5875,56.0185,18.3845,Aligned,58.9142,42.6676,Separated Traffic,Rural,6.8384,True,Residential,Poor Infrastructure,0.1767,Light,False,41.2967,-0.0028,-0.0045,Aligned,57,10th Main Road,6
24,10th Main Road,Urban Road,URB-00024,24,12.9419,77.5551,12.9442,77.5547,267.2,9.6,9.867,9.8539,Aligned,0.9751,1.0145,0.0502,0.0218,-0.0122,25.805,28.1196,24.2797,11.6566,19.3338,51.3258,99.2995,0.0,20.0,13.4434,No,0.0,-0.001,0.0722,Poor,High,1.1875,10.0,30.3494,23.5387,Safe,67.6049,25.2892,24.3105,Aligned,25.1043,38.2668,Side Impact Potential,Rural,1.0912,False,Residential,Poor Infrastructure,0.1735,Light,False,20.8461,-0.0002,0.0107,Aligned,23,10th Main Road,7
25,10th Main Road,Urban Road,URB-00025,25,12.9209,77.6002,12.9211,77.6054,616.9,10.0,10.617,14.7435,Aligned,0.9081,0.8971,0.1067,0.0052,-0.0046,64.2318,63.945,99.0184,17.0532,33.0546,80.8399,69.6182,0.0,60.0,26.8314,No,0.0,-0.0022,0.9977,Poor,Medium,0.4752,10.0,10.0,25.5083,Moderate Risk,69.5113,62.7043,20.4789,Aligned,62.8057,61.1831,Separated Traffic,Peri-Urban,4.2854,True,Mixed,Poor Infrastructure,0.0027,,False,52.4353,-0.0051,0.0108,Aligned,65,10th Main Road,8
26,10th Main Road,Urban Road,URB-00026,26,12.938,77.5573,12.9417,77.5579,410.8,10.4,10.811,10.5138,Aligned,0.9695,0.9728,0.0103,-0.0143,-0.0165,46.0409,47.4929,55.5232,12.9504,21.199,49.2337,90.5935,0.2126,51.0004,6.1531,No,0.0,0.0041,0.0652,Good,Medium,3.3037,10.0,10.0,21.4869,Safe,70.4471,45.9505,18.9571,Aligned,50.283,63.2012,Side Impact Potential,Urban,3.0638,False,Commercial,Poor Infrastructure,-0.0122,,False,42.3503,0.0052,0.005,Aligned,49,10th Main Road,9
27,10th Main Road,Urban Road,URB-00027,27,13.0117,77.5754,13.0113,77.5837,901.4,10.8,11.701,9.1753,Aligned,0.9904,0.9886,-0.0051,-0.0134,0.0003,21.6189,22.0806,50.2256,0.0,15.6925,50.9113,80.523,0.0,33.3729,6.3153,No,0.0,-0.0112,0.0346,Poor,High,2.1883,10.0,10.0,21.5539,Safe,67.5899,21.2962,19.9642,Aligned,22.8326,48.1354,Side Impact Potential,Peri-Urban,2.0213,False,Residential,Poor Infrastructure,-0.0091,,False,19.8631,0.0025,0.0007,Aligned,26,10th Main Road,10
28,11th B Cross Road,Urban Road,URB-00028,28,12.9085,77.581,12.9082,77.585,460.0,11.2,11.66,42.3672,Moderate Misalignment,0.9453,0.0291,0.9446,0.0085,-0.0097,30.2433,32.2698,52.1499,64.4417,65.0763,29.8116,80.7147,0.0,41.8926,77.7292,No,0.0,-0.0038,0.9836,Good,High,2.5147,10.0,10.0,35.4935,Moderate Risk,69.4328,30.7444,40.3605,Moderate Misalignment,30.3781,66.1176,Significant Pedestrian Interaction,Urban,1.899,False,Residential,High Pedestrian Interaction | Above Human Tolerance Limit,-0.0026,,False,24.3566,0.0117,-0.0179,Moderate Misalignment,30,11th B Cross Road,1
29,11th Cross Road,Urban Road,URB-00029,29,13.0019,77.5723,13.0018,77.5634,1700.9,11.6,13.301,33.1474,Moderate Misalignment,0.7454,0.2395,0.7732,0.0004,0.0021,37.0203,37.3302,29.3123,16.9082,26.5487,49.8902,97.8423,0.3667,30.1851,15.6319,No,0.0,0.0014,-0.0193,Good,High,3.2146,10.0,21.9163,25.4669,Moderate Risk,67.5185,35.4551,25.083,Moderate Misalignment,35.6,58.8423,Side Impact Potential,Peri-Urban,2.2841,False,Industrial,Poor Infrastructure,0.0022,,False,30.8856,-0.0185,-0.0044,Moderate Misalignment,36,11th Cross Road,1
30,11th Cross Road,Urban Road,URB-00030,30,12.9188,77.5539,12.9184,77.5552,146.2,12.0,12.146,34.7411,Moderate Misalignment,0.8959,0.0743,0.9184,0.0181,-0.0006,31.9879,29.2102,74.4462,71.5975,41.461,30.5476,80.4165,0.3109,49.8315,40.5116,No,0.0,-0.0085,-0.0203,Good,Low,1.3584,10.0,10.0,30.2817,Moderate Risk,66.8753,30.675,44.8021,Moderate Misalignment,42.4634,63.4791,Significant Pedestrian Interaction,Urban,2.7208,False,Mixed,High Pedestrian Interaction | Above Human Tolerance Limit,0.154,Light,False,33.9095,0.0033,0.0052,Moderate Misalignment,31,11th Cross Road,2
31,11th Cross Road,Urban Road,URB-00031,31,12.9172,77.6449,12.9173,77.6411,411.1,12.4,12.811,20.4813,Aligned,0.7258,0.7901,0.1904,0.0504,-0.0057,78.9737,80.1999,97.8812,11.6182,17.1041,78.8114,82.891,0.0,59.1913,13.4887,No,0.0,0.0003,0.0019,Poor,Low,0.3243,10.0,10.0,27.0841,Moderate Risk,60.7485,79.656,33.1434,Moderate Misalignment,91.9823,34.2427,Separated Traffic,Rural,5.07,True,Residential,Poor Infrastructure | Above Human Tolerance Limit,-0.0025,,False,77.8929,-0.0167,-0.0183,Aligned,80,11th Cross Road,3
32,11th Main Road,Urban Road,URB-00032,32,12.9207,77.5859,12.9217,77.5859,3133.4,12.8,15.933,11.3406,Aligned,0.9736,0.961,0.0363,0.0096,-0.0116,19.5846,19.9418,29.9702,19.7028,15.7585,51.0902,93.5243,0.1469,20.3538,10.5003,No,0.0,-0.0044,0.0459,Poor,Low,1.0459,10.0,10.0,18.2554,Safe,74.3325,20.187,14.923,Aligned,21.0147,35.4552,Side Impact Potential,Rural,1.9332,False,Residential,Poor Infrastructure,0.1225,Light,False,14.8918,0.0048,-0.0039,Aligned,19,11th Main Road,1
33,11th Main Road,Urban Road,URB-00033,33,12.9934,77.5688,13.009,77.5623,1941.1,13.2,15.141,77.4891,High Misalignment,0.9898,0.0415,-0.0166,0.9753,-0.0045,49.9437,50.1784,96.4445,7.4706,24.7129,50.4878,10.1975,0.1684,60.0,9.5496,No,0.0,-0.0048,-0.0235,Good,High,0.5164,10.0,10.0,39.1463,Moderate Risk,47.2583,49.4546,61.2841,High Misalignment,66.6568,68.5793,Side Impact Potential,Urban,4.0801,False,Residential,Speed Limit Misaligned | Active Congestion | Poor Infrastructure,0.8,Severe,False,14.7619,0.0018,-0.0175,High Misalignment,50,11th Main Road,2
34,11th Main Road,Urban Road,URB-00034,34,13.0136,77.4886,13.0181,77.5028,1838.9,13.6,15.439,10.9153,Aligned,0.974,0.9698,0.0237,-0.0139,-0.0032,24.5639,26.0894,75.4953,29.5715,27.8343,69.9704,74.0319,0.3404,39.9616,15.0615,No,0.0,-0.0018,-0.0156,Poor,Low,1.4255,10.0,10.0,22.0842,Safe,75.2089,25.0133,18.2372,Aligned,25.6179,65.6432,Separated Traffic,Urban,1.9829,True,Mixed,Poor Infrastructure,-0.0003,,False,24.0091,-0.0154,-0.0025,Aligned,26,11th Main Road,3
35,12th Cross Road,Urban Road,URB-00035,35,13.0103,77.5367,13.0077,77.5486,1460.2,14.0,15.46,37.8295,Moderate Misalignment,0.7214,0.2193,0.6917,0.1017,0.0039,78.8524,78.6938,98.4252,46.9331,31.9279,77.6061,89.4658,0.0634,60.0,22.7226,No,0.0,0.0028,0.027,Good,Low,0.5392,10.0,22.0698,27.9328,Moderate Risk,68.175,80.2825,37.5156,Moderate Misalignment,96.4284,65.429,Separated Traffic,Urban,4.9808,True,Mixed,Meets Safe System Standards,0.01,,False,88.8816,-0.0007,-0.0047,Moderate Misalignment,80,12th Cross Road,1
36,12th Cross Road,Urban Road,URB-00036,36,12.9483,77.5987,12.9453,77.5966,394.7,14.4,14.795,7.7454,Aligned,0.9842,1.0176,0.0317,-0.0002,0.0066,19.7037,20.1888,26.0721,7.8148,16.6221,50.4513,78.6105,0.0,29.4055,4.3541,No,0.0,-0.011,0.0102,Poor,High,3.1563,10.0,10.4868,20.9083,Safe,71.3941,20.2247,17.9797,Aligned,21.5507,49.6486,Side Impact Potential,Peri-Urban,0.8846,False,Residential,Poor Infrastructure,0.2137,Light,False,14.2757,-0.0042,-0.0017,Aligned,19,12th Cross Road,2
37,12th Cross Road,Urban Road,URB-00037,37,12.9083,77.5919,12.9084,77.5857,668.5,14.8,15.469,15.521,Aligned,0.8284,0.8726,0.0906,0.0291,-0.0108,25.84,25.8142,28.1538,1.7274,15.0843,49.163,98.5787,0.5961,20.0,1.3406,No,0.0,0.0029,0.0599,Poor,Medium,0.9267,10.0,34.0523,22.8096,Safe,65.438,24.8259,24.9656,Aligned,25.7296,40.6733,Side Impact Potential,Rural,0.8578,False,Mixed,Poor Infrastructure,0.2027,Light,False,21.6491,0.0011,0.0115,Aligned,27,12th Cross Road,3
38,12th Cross Road,Urban Road,URB-00038,38,13.0181,77.5028,13.0173,77.513,1816.4,15.2,17.016,14.8507,Aligned,0.8844,0.8602,0.091,0.0098,-0.0025,39.4646,37.6909,100.0,22.5943,24.568,80.3936,61.1686,0.3878,58.5472,20.5403,No,0.0,-0.0025,-0.0278,Good,High,0.3724,10.0,10.0,20.7172,Safe,74.2959,41.0674,18.247,Aligned,39.4772,47.9976,Separated Traffic,Peri-Urban,3.9113,True,Residential,Poor Infrastructure,0.0046,,False,33.5508,0.0057,-0.0222,Aligned,41,12th Cross Road,4
39,12th Cross Road,Urban Road,URB-00039,39,13.002,77.5444,13.0039,77.5492,569.4,15.6,16.169,13.7139,Aligned,0.949,0.9352,0.0326,0.0098,0.0101,23.9017,20.609,48.101,16.1539,29.8558,50.8843,81.1377,0.0282,38.7018,20.6472,No,0.0,0.0042,-0.0074,Poor,High,3.5974,10.0,10.1183,23.8626,Safe,70.9127,22.6614,20.338,Aligned,20.7304,56.4202,Side Impact Potential,Urban,1.7531,False,Mixed,Poor Infrastructure,0.1439,Light,False,15.2539,0.0209,0.0113,Aligned,22,12th Cross Road,5
40,12th Cross Road,Urban Road,URB-00040,40,12.9683,77.6377,12.9669,77.6371,202.3,16.0,16.202,14.5541,Aligned,0.8204,0.8576,0.1295,-0.0065,0.0035,49.9819,49.5621,99.2305,0.2001,16.7962,79.9106,59.1475,0.2223,60.0,7.2834,No,0.0,0.0064,-0.0414,Poor,Medium,0.3235,10.0,10.6077,22.6447,Safe,68.1404,49.0453,18.6739,Aligned,49.6877,43.4325,Separated Traffic,Rural,6.012,True,Industrial,Poor Infrastructure,0.0122,,False,42.8391,0.016,-0.0068,Aligned,50,12th Cross Road,6
41,12th Cross Road,Urban Road,URB-00041,41,12.9264,77.5145,12.9251,77.5176,367.5,16.4,16.768,10.4413,Aligned,0.939,0.9702,0.0198,0.0096,-0.0015,29.5933,31.2798,88.7582,36.0729,30.2586,49.6001,53.3453,0.0,37.4221,22.6941,No,0.0,0.0018,0.0094,Good,Medium,1.7978,10.0,10.1515,21.8409,Safe,75.0014,30.3671,19.2225,Aligned,30.0394,62.1975,Side Impact Potential,Urban,6.2194,True,Commercial,Active Congestion,0.705,Severe,False,10.4912,0.0121,0.0168,Aligned,31,12th Cross Road,7
42,12th Main Road,Urban Road,URB-00042,42,12.9698,77.636,12.9701,77.6401,1594.6,16.8,18.395,11.2567,Aligned,0.9632,0.9893,0.073,0.0223,0.0011,37.3941,36.0527,83.614,30.2729,42.9308,48.3266,71.8586,0.0,49.3919,41.9399,No,0.0,-0.0131,0.9851,Poor,Low,2.0672,10.0,10.0,27.158,Moderate Risk,70.8274,37.4639,22.9922,Aligned,38.5871,64.6588,Side Impact Potential,Urban,5.0191,True,Residential,Poor Infrastructure,0.1311,Light,False,31.4157,0.0144,-0.0065,Aligned,38,12th Main Road,1
43,12th Main Road,Urban Road,URB-00043,43,12.9969,77.5528,12.9844,77.5542,1456.7,17.2,18.657,8.7262,Aligned,1.0038,0.9607,0.0324,0.0067,-0.0002,26.9017,24.9296,26.7043,12.9508,19.831,50.7781,85.1773,0.061,30.3218,6.7619,No,0.0,-0.0029,0.0491,Poor,Medium,3.0731,10.0,10.4908,20.1986,Safe,72.995,27.8657,18.7623,Aligned,27.3743,49.6489,Side Impact Potential,Peri-Urban,1.1553,False,Residential,Poor Infrastructure,0.0032,,False,21.3339,-0.0099,0.006,Aligned,26,12th Main Road,2
